"x","y","H5_cont","H5_disc","simple"
452.5,83.5,1,1,2
803.5,142.5,1,1,2
514.5,136.5,1,1,2
917.5,415.5,1,1,2
452.5,982.5,1,1,2
407.5,714.5,1,1,2
798.5,375.5,1,1,2
291.5,668.5,1,1,2
148.5,783.5,1,1,2
920.5,406.5,1,1,2
455.5,53.5,1,1,2
217.5,30.5,1.75,1,2.75
437.5,266.5,1,1,2
645.5,91.5,1,1,2
152.5,84.5,1,1,2
638.5,751.5,1,1,2
805.5,134.5,1,1,2
443.5,346.5,2.875,1,3.875
550.5,97.5,1,1,2
429.5,119.5,1,1,2
155.5,31.5,1,1,2
154.5,410.5,1,1,2
1000.5,88.5,1.5625,1,2.5625
509.5,216.5,1,1,2
546.5,295.5,1,1,2
889.5,319.5,1,1,2
645.5,438.5,1,1,2
542.5,254.5,1,1,2
546.5,818.5,1,1,2
446.5,319.5,3.25,1,4.25
404.5,15.5,1,1,2
119.5,471.5,1,1,2
386.5,838.5,1,1,2
650.5,435.5,1,1,2
573.5,291.5,1,1,2
125.5,472.5,1,1,2
674.5,382.5,1,1,2
763.5,243.5,1,1,2
534.5,73.5,1,1,2
219.5,824.5,1,1,2
521.5,314.5,1,1,2
681.5,194.5,1,1,2
525.5,492.5,2.125,1,3.125
771.5,269.5,1,1,2
773.5,687.5,1,1,2
78.5,314.5,2.125,1,3.125
874.5,482.5,1,1,2
738.5,395.5,1,1,2
352.5,838.5,1,1,2
509.5,247.5,1,1,2
527.5,289.5,1,1,2
636.5,470.5,1,1,2
800.5,362.5,1,1,2
799.5,368.5,1,1,2
505.5,739.5,1.1875,1,2.1875
12.5,998.5,1,1,2
476.5,132.5,1,1,2
378.5,383.5,3.625,1,4.625
449.5,815.5,1,1,2
635.5,257.5,1,1,2
399.5,986.5,1,1,2
355.5,351.5,1,1,2
741.5,385.5,1,1,2
357.5,842.5,1.1875,1,2.1875
541.5,70.5,1,1,2
288.5,806.5,2.6875,1,3.6875
723.5,393.5,1,1,2
608.5,216.5,1,1,2
532.5,604.5,3.4375,1,4.4375
66.5,909.5,1,1,2
541.5,273.5,1,1,2
942.5,104.5,1.375,1,2.375
961.5,585.5,1,1,2
536.5,763.5,1.75,1,2.75
621.5,205.5,1,1,2
408.5,784.5,1,1,2
82.5,852.5,1,1,2
18.5,360.5,1,1,2
340.5,325.5,2.125,1,3.125
58.5,1016.5,1,1,2
458.5,796.5,1,1,2
547.5,271.5,1,1,2
934.5,398.5,1,1,2
521.5,334.5,1,1,2
516.5,494.5,1,1,2
600.5,578.5,1,1,2
679.5,561.5,1,1,2
681.5,53.5,1,1,2
991.5,476.5,2.3125,1,3.3125
49.5,1004.5,1,1,2
349.5,72.5,1,1,2
648.5,27.5,1.75,1,2.75
646.5,294.5,3.0625,1,4.0625
961.5,562.5,1,1,2
527.5,313.5,1,1,2
628.5,257.5,1,1,2
682.5,55.5,1,1,2
607.5,16.5,1,1,2
445.5,23.5,1,1,2
642.5,766.5,1,1,2
566.5,982.5,1,1,2
744.5,263.5,1,1,2
529.5,3.5,1,1,2
